RMSD(ArbAlign),nameA,nameB,reflect,swap,BCI (%),mismatched bond indices
0.0961467734369931,8w4x_BGC,8w4x_sugars_model_0_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)",0.0,[]
0.8014570632686433,8w4x_BGC,8w4x_sugars_model_1_chainB_pH74,"(1, 1, 1)","(2, 1, 0)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.8192692576803271,8w4x_BGC,8w4x_sugars_model_2_chainB_pH74,"(-1, 1, 1)","(1, 2, 0)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0840631410970913,8w4x_BGC,8w4x_sugars_model_3_chainB_pH74,"(-1, -1, -1)","(2, 1, 0)",0.0,[]
0.8132241262484425,8w4x_BGC,8w4x_sugars_model_4_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0829776320737737,8w4x_BGC,8w4x_sugars_model_5_chainB_pH74,"(-1, -1, -1)","(2, 1, 0)",0.0,[]
0.081109226565671,8w4x_BGC,8w4x_sugars_model_6_chainB_pH74,"(1, 1, -1)","(1, 0, 2)",0.0,[]
0.0772389783117381,8w4x_BGC,8w4x_sugars_model_7_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)",0.0,[]
0.8201429016836893,8w4x_BGC,8w4x_sugars_model_8_chainB_pH74,"(1, 1, -1)","(1, 2, 0)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.8246420906017811,8w4x_BGC,8w4x_sugars_model_9_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.818455709876469,8w4x_BGC,8w4x_sugars_model_10_chainB_pH74,"(1, 1, 1)","(0, 2, 1)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0797457935607958,8w4x_BGC,8w4x_sugars_model_11_chainB_pH74,"(-1, -1, -1)","(0, 2, 1)",0.0,[]
0.0959583972251545,8w4x_BGC,8w4x_sugars_model_12_chainB_pH74,"(1, -1, -1)","(0, 1, 2)",0.0,[]
0.8815758765589082,8w4x_BGC,8w4x_sugars_model_13_chainB_pH74,"(-1, 1, 1)","(2, 1, 0)",70.0,"[(0, 1), (0, 7), (1, 2), (3, 4), (3, 10), (5, 6), (5, 10)]"
0.0774948718291332,8w4x_BGC,8w4x_sugars_model_14_chainB_pH74,"(1, 1, -1)","(1, 0, 2)",0.0,[]
0.5305516938453966,8w4x_BGC,8w4x_sugars_model_15_chainB_pH74,"(1, 1, 1)","(0, 1, 2)",0.0,[]
0.8148142569524198,8w4x_BGC,8w4x_sugars_model_16_chainB_pH74,"(-1, 1, 1)","(0, 1, 2)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.8038649170431809,8w4x_BGC,8w4x_sugars_model_17_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0802545694387638,8w4x_BGC,8w4x_sugars_model_18_chainB_pH74,"(-1, 1, -1)","(0, 1, 2)",0.0,[]
0.815336548114855,8w4x_BGC,8w4x_sugars_model_19_chainB_pH74,"(-1, -1, -1)","(2, 0, 1)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0969163055844637,8w4x_BGC,8w4x_sugars_model_20_chainB_pH74,"(1, 1, 1)","(2, 0, 1)",0.0,[]
0.8318950759214825,8w4x_BGC,8w4x_sugars_model_21_chainB_pH74,"(1, 1, -1)","(1, 2, 0)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.8177578422041054,8w4x_BGC,8w4x_sugars_model_22_chainB_pH74,"(-1, -1, -1)","(0, 1, 2)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0970059809227286,8w4x_BGC,8w4x_sugars_model_23_chainB_pH74,"(1, 1, -1)","(2, 1, 0)",0.0,[]
0.7966412863175767,8w4x_BGC,8w4x_sugars_model_24_chainB_pH74,"(1, 1, 1)","(1, 0, 2)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0797937240970885,8w4x_BGC,8w4x_sugars_model_25_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)",0.0,[]
0.6312273962932174,8w4x_BGC,8w4x_sugars_model_26_chainB_pH74,"(-1, 1, -1)","(1, 2, 0)",40.0,"[(0, 1), (0, 7), (5, 6), (5, 10)]"
0.0884423526652355,8w4x_BGC,8w4x_sugars_model_27_chainB_pH74,"(-1, 1, 1)","(1, 0, 2)",0.0,[]
0.0875097523755521,8w4x_BGC,8w4x_sugars_model_28_chainB_pH74,"(-1, -1, -1)","(1, 0, 2)",0.0,[]
0.6310158789885206,8w4x_BGC,8w4x_sugars_model_29_chainB_pH74,"(-1, 1, -1)","(2, 0, 1)",40.0,"[(0, 1), (0, 7), (5, 6), (5, 10)]"
0.0832261027290015,8w4x_BGC,8w4x_sugars_model_30_chainB_pH74,"(-1, -1, 1)","(1, 2, 0)",0.0,[]
0.8152467434229079,8w4x_BGC,8w4x_sugars_model_31_chainB_pH74,"(-1, -1, 1)","(2, 1, 0)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0789784778778419,8w4x_BGC,8w4x_sugars_model_32_chainB_pH74,"(1, 1, -1)","(0, 2, 1)",0.0,[]
0.0838210410736723,8w4x_BGC,8w4x_sugars_model_33_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)",0.0,[]
0.5216771081686971,8w4x_BGC,8w4x_sugars_model_34_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)",0.0,[]
0.8260815987835858,8w4x_BGC,8w4x_sugars_model_35_chainB_pH74,"(1, -1, -1)","(0, 2, 1)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0786899154515345,8w4x_BGC,8w4x_sugars_model_36_chainB_pH74,"(1, 1, 1)","(2, 0, 1)",0.0,[]
0.5292447713512773,8w4x_BGC,8w4x_sugars_model_37_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)",0.0,[]
0.8096980814470717,8w4x_BGC,8w4x_sugars_model_38_chainB_pH74,"(1, -1, -1)","(1, 0, 2)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.5159316645699326,8w4x_BGC,8w4x_sugars_model_39_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)",0.0,[]
0.0854263539026788,8w4x_BGC,8w4x_sugars_model_40_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)",0.0,[]
0.5325350979642599,8w4x_BGC,8w4x_sugars_model_41_chainB_pH74,"(1, 1, 1)","(0, 1, 2)",0.0,[]
0.6629243281201356,8w4x_BGC,8w4x_sugars_model_42_chainB_pH74,"(1, -1, -1)","(2, 1, 0)",0.0,[]
0.6294552069671642,8w4x_BGC,8w4x_sugars_model_43_chainB_pH74,"(1, 1, 1)","(1, 2, 0)",40.0,"[(0, 1), (0, 7), (5, 6), (5, 10)]"
0.8173183245232094,8w4x_BGC,8w4x_sugars_model_44_chainB_pH74,"(1, 1, 1)","(0, 2, 1)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.0917828878535841,8w4x_BGC,8w4x_sugars_model_45_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)",0.0,[]
0.8797508583382564,8w4x_BGC,8w4x_sugars_model_46_chainB_pH74,"(1, -1, 1)","(1, 0, 2)",70.0,"[(0, 1), (0, 7), (1, 2), (3, 4), (3, 10), (5, 6), (5, 10)]"
0.8236511775281482,8w4x_BGC,8w4x_sugars_model_47_chainB_pH74,"(-1, 1, -1)","(2, 1, 0)",30.0,"[(1, 2), (3, 4), (5, 10)]"
0.8834007516038617,8w4x_BGC,8w4x_sugars_model_48_chainB_pH74,"(1, -1, -1)","(0, 1, 2)",70.0,"[(0, 1), (0, 7), (1, 2), (3, 4), (3, 10), (5, 6), (5, 10)]"
0.1313900175714403,8w4x_BGC,8w4x_sugars_model_49_chainB_pH74,"(1, 1, 1)","(2, 0, 1)",0.0,[]
