Memory_Usage_MB,RMSD(ArbAlign),nameA,nameB
0.05859375,0.3156795628351814,2-Cs-1,2-OpenC1
0.04296875,0.3095436270556617,3-UUD,3-UUU
0.07421875,0.4939862594397265,4-Ci,4-S4
0.04296875,0.7561391920617178,5-CA-A,5-CA-B
0.09765625,1.1866548256815874,6-BAG,6-BK-1
0.07421875,0.45042508725308283,7-BI1,7-BI2
0.07421875,0.37226494447320624,8-D2d,8-S4
0.06640625,0.36523903291823856,9-D2dDD,9-S4DA
0.07421875,0.3379285075317387,10-PP1,10-PP2
0.0390625,0.9575347776552596,11-551A-1,11-551A-4
0.1015625,0.38216414580200847,12-D2d-1-L,12-D2d-1-R
0.1171875,1.5214902005430149,13-TIP4P,13-TIP5P
0.11328125,0.8118111562912138,14-1,14-2
0.046875,1.377101589330962,15-1,15-2
0.01171875,1.9472014388044327,16-TIP4P,16-TIP5P
0.0390625,1.3454468129613473,17-TIP4P,17-TIP5P
0.06640625,1.6538669596420432,18-TIP4P,18-TIP5P
0.1640625,1.59445936372813,19-TIP4P,19-TIP5P
0.25390625,1.7630113055704741,20-TIP4P,20-TIP5P
0.16015625,1.5382280024165922,21-TIP4P,21-TIP5P
0.20703125,2.5458958536461784,25-1,25-2
0.8515625,2.1762071033718597,40-a,40-b
2.03515625,1.9275185374250499,60-1,60-2
6.4453125,1.9671982865031477,100-1,100-2
