nameA,nameB,RMSD(otmol),Memory_Usage_MB
2-Cs-1.xyz,2-OpenC1.xyz,0.31569660184339016,0.0
3-UUD.xyz,3-UUU.xyz,0.30954362705566146,0.07421875
4-Ci.xyz,4-S4.xyz,0.49398625943972657,0.02734375
5-CA-A.xyz,5-CA-B.xyz,0.7561391920617175,0.015625
6-BAG.xyz,6-BK-1.xyz,1.0396456484895746,0.05078125
7-BI1.xyz,7-BI2.xyz,0.4504250872530827,0.015625
8-D2d.xyz,8-S4.xyz,0.6063086293512906,0.1875
9-D2dDD.xyz,9-S4DA.xyz,0.6406989561890261,0.03515625
10-PP1.xyz,10-PP2.xyz,0.641975406893474,0.16015625
11-551A-1.xyz,11-551A-4.xyz,0.13688867337895685,0.125
12-D2d-1-L.xyz,12-D2d-1-R.xyz,0.514138995509673,0.140625
13-TIP4P.xyz,13-TIP5P.xyz,1.2281648589693068,0.234375
14-1.xyz,14-2.xyz,0.5519288333105363,0.0625
15-1.xyz,15-2.xyz,1.1779323886945785,0.22265625
16-TIP4P.xyz,16-TIP5P.xyz,1.6074334831759118,0.13671875
17-TIP4P.xyz,17-TIP5P.xyz,1.2084151315488811,0.20703125
18-TIP4P.xyz,18-TIP5P.xyz,1.5006183574796985,0.12109375
19-TIP4P.xyz,19-TIP5P.xyz,1.4348133122964202,0.24609375
20-TIP4P.xyz,20-TIP5P.xyz,1.8000138001536907,0.125
21-TIP4P.xyz,21-TIP5P.xyz,1.5264621076394767,0.171875
25-1.xyz,25-2.xyz,0.9644411634818141,0.375
40-a.xyz,40-b.xyz,2.2717458102606627,0.84375
60-1.xyz,60-2.xyz,2.082208412318263,11.27734375
100-1.xyz,100-2.xyz,2.1106346649942984,24.90234375
