nameA,nameB,RMSD(OTMol),alpha,BCI (%),assignment
8w4x_BGCGLC,8w4x_sugars_model_0_chainC_pH74,0.48691830247481716,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_1_chainC_pH74,0.4684733605138164,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_2_chainC_pH74,2.4898495670947525,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_3_chainC_pH74,0.44023356676269226,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_4_chainC_pH74,0.49004508080210285,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_5_chainC_pH74,0.47427043989927936,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_6_chainC_pH74,0.4666210266556842,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_7_chainC_pH74,2.6179820704010495,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_8_chainC_pH74,0.4850203395409102,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_9_chainC_pH74,2.5453841534132393,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_10_chainC_pH74,0.47101776580415466,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_11_chainC_pH74,0.476108565199183,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_12_chainC_pH74,2.518771579063661,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_13_chainC_pH74,0.49893532238522154,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_14_chainC_pH74,2.56715337950263,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_15_chainC_pH74,0.4776846550720715,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_16_chainC_pH74,0.4661970702656111,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_17_chainC_pH74,2.6016365035046265,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_18_chainC_pH74,2.632724744522492,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_19_chainC_pH74,0.459586072395071,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_20_chainC_pH74,2.530339947469884,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_21_chainC_pH74,0.45648305492808716,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_22_chainC_pH74,2.639672019736958,0.02,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_23_chainC_pH74,2.558057683685338,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_24_chainC_pH74,2.591559516209925,0.15,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_25_chainC_pH74,2.5435551279573545,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_26_chainC_pH74,2.6156610604500554,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_27_chainC_pH74,2.590355087817814,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_28_chainC_pH74,2.607453424447891,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_29_chainC_pH74,2.568417068016727,0.07,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_30_chainC_pH74,2.5805507074427716,0.07,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_31_chainC_pH74,2.6335394491709154,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_32_chainC_pH74,2.5513696472945506,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_33_chainC_pH74,2.5677955589087356,0.1,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_34_chainC_pH74,2.496286771215324,0.1,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_35_chainC_pH74,2.5798661501267923,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_36_chainC_pH74,2.537448505604978,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_37_chainC_pH74,2.5976760946126345,0.07,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_38_chainC_pH74,2.6345463270960114,0.07,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_39_chainC_pH74,0.46447305585724574,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_40_chainC_pH74,2.6305242339641515,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_41_chainC_pH74,2.5896590770353862,0.21,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_42_chainC_pH74,2.5093508257574126,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_43_chainC_pH74,2.556005071219212,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_44_chainC_pH74,2.500865053068094,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_45_chainC_pH74,2.6241899726897606,0.17,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_46_chainC_pH74,2.4872383286503474,0.03,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_47_chainC_pH74,2.580261088631039,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_48_chainC_pH74,2.6075668218892325,0.08,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
8w4x_BGCGLC,8w4x_sugars_model_49_chainC_pH74,2.478786723896,0.07,0.0,[11  9  7  6 14 15 12 10  8  5 13 16 17 19 21  2  1  4 18 20 22  3  0]
